Title;Location;Start;End;Description
DCT (1050);B 4.1.01 TI 1;2024-01-08 08:00:00;2024-01-08 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2024-01-15 08:00:00;2024-01-15 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
DCT (1050);B 4.1.01 TI 1;2024-01-22 08:00:00;2024-01-22 09:30:00;"Digital- und Computertechnik (1050) | P/4  Gruppe A/B | Thomas Gouders, Prof. Dr. Paul Kaufmann | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-10-11 10:15:00;2023-10-11 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-10-11 12:15:00;2023-10-11 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-10-18 10:15:00;2023-10-18 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-10-18 12:15:00;2023-10-18 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-10-25 10:15:00;2023-10-25 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 2.2.05 WI;2023-10-25 12:15:00;2023-10-25 13:45:00;"Mathematik 1 (1070) | V  | Prof.Dr. Susanne Frey | IS 1 | "
MAT1 (1070);A 1.1.11 ET;2023-11-08 10:15:00;2023-11-08 11:45:00;"Mathematik 1 (1070) | Ü Gr. B | Prof.Dr. Susanne Frey | IS 1 | "
